CRIM,RM,MEDV
0.40771,6.164,21.7
0.06263,6.593,22.4
0.55778,6.335,18.1
0.32982,5.822,18.4
0.11027,6.456,22.2
0.05023,5.706,17.1
0.24103,6.083,22.2
0.03041,5.895,18.5
0.05789,5.878,22
0.85204,5.965,19.6
4.42228,6.003,19.1
25.0461,5.987,5.6
0.10574,5.983,13.6
0.03548,5.876,20.9
0.2896,5.39,19.7
9.51363,6.728,14.9
0.05646,6.232,21.2
9.59571,6.404,12.1
0.17899,5.67,23.1
15.5757,5.926,19.1
1.62864,5.019,14.4
1.6566,6.122,21.5
3.69695,4.963,21.9
0.26938,6.266,21.6
3.56868,6.437,23.2
3.53501,6.152,15.6
0.12744,6.77,26.6
0.49298,6.635,22.8
6.39312,6.162,13.3
0.84054,5.599,13.9
0.08014,5.85,21
4.34879,6.167,19.9
0.76162,5.56,22.8
9.33889,6.38,9.5
1.05393,5.935,23.1
0.17446,5.96,21.7
0.52058,6.631,25.1
0.05479,6.616,28.4
0.10153,6.279,20
3.47428,8.78,21.9
1.13081,5.713,12.7
5.87205,6.405,12.5
10.233,6.185,14.6
0.09512,6.286,21.4
2.73397,5.597,15.4
0.21977,5.602,19.4
0.04684,6.417,22.6
4.0974,5.468,15.6
0.06417,5.933,18.9
0.13058,5.872,20.4
0.79041,6.122,22.1
0.62976,5.949,20.4
0.10959,6.794,22
0.26838,5.794,18.3
0.19657,6.226,20.5
0.2909,6.174,14
9.72418,6.406,17.1
0.13262,5.851,19.5
0.15038,5.856,17.3
8.98296,6.212,17.8
5.70818,6.75,23.7
0.08826,6.417,24.2
0.04294,6.249,20.6
0.97617,5.757,15.6
0.09744,5.841,20
20.7162,4.138,11.9
13.6781,5.935,8.4
0.06151,5.968,18.7
0.26169,6.023,19.4
0.1415,6.169,25.3
1.49632,5.404,19.6
0.06162,5.898,17.2
0.11432,6.781,26.5
0.0566,7.007,23.6
0.11425,6.373,23
1.34284,6.066,24.3
0.1712,5.836,19.5
0.09252,6.606,23.3
0.43571,5.344,20
7.52601,6.417,13
3.67822,5.362,20.8
0.12757,6.393,23.7
0.03659,6.302,24.8
1.38799,5.95,13.2
1.35472,6.072,14.5
7.83932,6.209,21.4
0.04337,6.115,20.5
0.05735,6.63,26.6
1.42502,6.51,23.3
0.15086,5.454,15.2
14.2362,6.343,7.2
0.13642,5.891,22.6
0.14052,6.375,28.1
1.12658,5.012,15.3
0.22212,6.092,18.7
0.16211,6.24,25.2
11.9511,5.608,27.9
3.8497,6.395,21.7
4.87141,6.484,16.7
0.10612,6.095,20.1
3.83684,6.251,19.9
1.25179,5.57,13.6
0.01965,6.23,20.1
0.17331,5.707,21.8
2.14918,5.709,19.4
0.537,5.981,24.3
0.08244,6.481,23.7
8.20058,5.936,13.5
1.19294,6.326,19.6
13.9134,6.208,11.7
0.19073,6.718,26.2
2.37857,5.871,20.6
5.29305,6.051,23.2
0.19802,6.182,25
0.21124,5.631,16.5
1.00245,6.674,21
0.31827,5.914,17.8
0.18159,6.376,23.1
14.0507,6.657,17.2
5.09017,6.297,16.1
0.14932,5.741,18.7
15.1772,6.152,8.7
0.1146,6.538,24.4
18.0846,6.434,7.2
3.32105,5.403,13.4
0.15445,6.145,23.3
2.36862,4.926,14.6
0.22969,6.326,24.4
11.1604,6.629,13.4
18.4982,4.138,13.8
7.67202,5.747,8.5
15.0234,5.304,12
0.09065,5.92,20.7
2.24236,5.854,22.7
9.39063,5.627,12.8
0.13117,6.127,20.4
0.13587,6.064,24.4
0.08265,6.127,23.9
2.77974,4.903,11.8
0.09849,5.879,18.8
0.95577,6.047,14.8
0.25915,5.693,16.2
0.05188,6.015,22.5
5.66637,6.219,18.4
0.06211,6.49,22.9
0.34109,6.415,25
0.1403,6.487,24.4
0.27957,5.926,24.5
0.0536,6.511,25
0.00632,6.575,24
0.05083,6.316,22.2
14.4383,6.852,27.5
3.77498,5.952,19
0.80271,5.456,20.2
0.22876,6.405,18.6
2.63548,4.973,16.1
0.10659,5.936,20.6
5.82401,6.242,23
0.04819,6.108,21.9
17.8667,6.223,10.2
2.81838,5.762,21.8
6.80117,6.081,20
0.21161,6.137,19.3
0.14103,5.79,20.3
0.17134,5.928,18.3
0.0456,5.888,23.3
15.8744,6.545,10.9
0.04297,6.565,24.8
0.09178,6.416,23.6
0.47547,6.113,21
0.09266,6.495,26.4
0.0795,6.579,24.1
0.20608,5.593,17.6
8.79212,5.565,11.7
0.12329,5.913,18.8
0.0187,6.516,23.1
25.9406,5.304,10.4
0.12816,5.885,20.9
0.59005,6.372,23
0.1265,6.762,25
0.21719,5.807,22.4
13.3598,5.887,12.7
0.02498,6.54,16.5
23.6482,6.38,13.1
0.04417,6.871,24.8
0.18836,5.786,20
0.22489,6.377,15
0.06899,5.87,22
0.07022,6.02,23.2
14.3337,4.88,10.2
0.38735,5.613,15.7
13.0751,5.713,20.1
0.30347,6.312,23
1.80028,5.877,23.8
0.7258,5.727,18.2
0.07165,6.004,20.3
0.22927,6.03,16.6
0.37578,5.404,19.3
0.23912,6.019,21.2
0.02875,6.211,25
0.09378,5.889,21.7
0.03738,6.31,20.7
0.77299,6.495,18.4
0.04981,5.998,23.4
0.33045,6.086,24
1.20742,5.875,17.4
2.15505,5.628,15.6
0.18337,5.414,7
0.17505,5.966,24.7
3.1636,5.759,19.9
0.17004,6.004,18.9
0.25387,5.399,14.4
9.18702,5.536,11.3
4.66883,5.976,12.7
0.04741,6.03,11.9
7.99248,5.52,12.3
5.69175,6.114,19.1
3.67367,6.312,21.2
0.12269,6.069,21.2
0.07151,6.121,22.2
0.02543,6.696,23.9
0.08447,5.859,22.6
0.14476,5.731,19.3
0.63796,6.096,18.2
8.24809,7.393,17.8
0.03466,6.031,19.4
37.6619,6.202,10.9
0.06617,5.868,19.3
0.03871,6.209,23.2
0.11329,6.897,22
0.16439,6.433,24.5
3.69311,6.376,17.7
0.10793,6.195,21.7
0.03551,6.167,22.9
7.05042,6.103,13.4
0.10084,6.715,22.8
0.04113,6.727,28
0.12802,6.474,19.8
2.44953,6.402,22.3
0.19539,6.245,23.4
5.82115,6.513,20.2
0.05425,6.315,24.6
0.08387,5.874,20.3
0.11747,6.009,18.9
0.03306,6.059,20.6
0.15098,6.021,19.2
7.02259,6.006,14.2
7.40389,5.617,17.2
0.88125,5.637,14.3
9.92485,6.251,12.6
12.8023,5.854,10.8
5.20177,6.127,22.7
0.04544,6.144,19.8
0.62739,5.834,19.9
0.13914,5.572,23.1
8.05579,5.427,13.8
0.14866,6.727,27.5
6.28807,6.341,14.9
1.27346,6.25,27
0.04203,6.442,22.9
0.08829,6.012,22.9
16.8118,5.277,7.2
0.29916,5.856,21.1
11.8123,6.824,8.4
0.98843,5.813,14.5
10.6718,6.459,11.8
5.58107,6.436,14.3