Row,Hospital,Treatment,Reduction
1,239,0,3
2,1126,0,1
3,1161,0,2
4,1293,1,2
5,1462,1,2
6,1486,0,2
7,1698,1,5
8,1710,0,1
9,1807,0,1
10,1936,1,2
11,1965,1,2
12,2021,1,2
13,2026,0,1
14,202,0,3
15,208,1,4
16,2269,1,2
17,2381,1,2
18,2388,0,1
19,2400,1,2
20,2475,0,4
21,2548,0,1
22,2551,0,2
23,2661,0,1
24,2677,1,4
25,2739,1,2
26,2795,1,3
27,2889,0,5
28,2892,1,9
29,2991,1,2
30,3166,1,2
31,3190,0,1
32,3254,0,4
33,3312,1,2
34,3373,1,2
35,3403,1,3
36,3403,0,1
37,3429,1,2
38,3441,1,6
39,3520,0,1
40,3568,1,2
41,3580,0,2
42,3599,0,2
43,3660,1,2
44,3985,0,2
45,4014,1,2
46,4060,0,1
47,4076,1,2
48,4093,0,1
49,4230,0,2
50,5633,0,2