Experiment,Measurement
hyb1,2060
hyb1,2127
hyb1,1947
hyb1,2140
hyb1,1960
hyb1,1960
hyb1,2134
hyb1,2054
hyb1,2094
hyb1,2087
hyb1,2267
hyb1,2427
hyb1,2174
hyb1,2107
hyb1,2267
hyb1,2154
hyb1,2167
hyb1,2147
hyb1,2214
hyb1,2160
hyb1,2180
hyb1,2220
hyb1,2167
hyb1,2174
hyb1,2280
hyb1,2187
hyb1,2180
hyb1,2060
hyb1,2060
hyb1,2054
hyb1,2240
hyb1,2140
hyb2,1907
hyb2,1940
hyb2,1700
hyb2,1934
hyb2,1707
hyb2,1680
hyb2,1940
hyb2,1794
hyb2,1707
hyb2,1680
hyb2,2067
hyb2,2200
hyb2,2000
hyb2,1847
hyb2,1800
hyb2,1934
hyb2,1887
hyb2,1814
hyb2,2040
hyb2,1907
hyb2,1934
hyb2,1987
hyb2,1834
hyb2,1967
hyb2,2094
hyb2,2000
hyb2,2000
hyb2,1914
hyb2,1887
hyb2,1767
hyb2,2047
hyb2,1974