Sales,Trade-disc,Coupon
"$12,595",0.11,0.12
"$15,799",0.11,0.09
"$12,242",0.11,0.09
"$15,685",0.11,0.1
"$14,823",0.11,0.1
"$13,150",0.11,0.09
"$12,719",0.11,0.09
"$11,020",0.11,0.09
"$21,853",0.14,0.09
"$39,880",0.21,0.19
"$33,285",0.21,0.12
"$14,699",0.11,0.1
"$13,084",0.11,0.08
"$12,013",0.11,0.07
"$11,020",0.09,0.06
"$23,105",0.13,0.08
"$40,541",0.21,0.17
"$33,249",0.21,0.11
"$24,830",0.14,0.14
"$13,188",0.11,0.11
"$23,630",0.11,0.07
"$13,264",0.11,0.07
"$84,605",0.2,0.19
"$84,774",0.2,0.19
"$43,453",0.19,0.18
"$85,799",0.19,0.17
"$15,434",0.11,0.07
"$21,100",0.16,0.11
"$14,212",0.1,0.09
"$22,412",0.17,0.1
"$14,444",0.15,0.11
"$15,939",0.19,0.13
"$31,985",0.17,0.11
"$34,345",0.17,0.15
"$26,871",0.15,0.1
"$28,327",0.16,0.14
"$31,171",0.17,0.1
"$34,987",0.17,0.16
"$27,211",0.17,0.13
"$28,039",0.17,0.15
"$28,277",0.17,0.15
"$27,314",0.17,0.13
"$32,855",0.17,0.1
"$30,781",0.17,0.14
"$20,315",0.14,0.1
"$27,345",0.17,0.14
"$27,862",0.17,0.16
"$33,415",0.17,0.14
"$14,343",0.09,0.09
"$21,475",0.16,0.1
"$39,976",0.18,0.16
"$22,862",0.15,0.09
"$31,294",0.17,0.15
"$29,619",0.17,0.11
"$28,230",0.17,0.11
"$40,448",0.17,0.12
"$22,396",0.14,0.1
"$33,754",0.17,0.14
"$29,309",0.16,0.09
"$27,474",0.17,0.1
"$101,641",0.18,0.16
"$102,299",0.21,0.17
"$19,859",0.15,0.13
"$20,118",0.15,0.09
"$75,392",0.16,0.11
"$49,951",0.16,0.1
"$18,390",0.13,0.12
"$77,894",0.17,0.13
"$46,494",0.16,0.14
"$18,720",0.13,0.13
"$33,221",0.16,0.12
"$41,813",0.17,0.14
"$32,802",0.16,0.09
"$16,724",0.12,0.08
"$22,751",0.13,0.12
"$17,291",0.11,0.07
"$16,959",0.11,0.1
"$31,793",0.16,0.14
"$43,379",0.16,0.11
"$32,153",0.16,0.15
"$17,764",0.16,0.12
"$21,628",0.16,0.13
"$17,646",0.16,0.11
"$17,009",0.16,0.1
"$77,371",0.16,0.14
"$76,479",0.16,0.1
"$15,239",0.16,0.14
"$15,986",0.16,0.1
"$52,579",0.16,0.12
"$67,382",0.16,0.1
"$51,157",0.16,0.12
"$69,344",0.16,0.13
"$60,425",0.16,0.11
"$58,548",0.16,0.1
"$19,135",0.16,0.11
"$16,416",0.16,0.11
"$47,000",0.16,0.1
"$19,303",0.16,0.13
"$15,875",0.16,0.12
"$45,570",0.16,0.11
"$11,488",0.13,0.09
"$12,803",0.13,0.12
"$12,251",0.13,0.12
"$17,101",0.13,0.08
"$42,701",0.13,0.08
"$23,729",0.13,0.12
"$56,270",0.13,0.13
"$36,453",0.13,0.12
"$15,798",0.13,0.11
"$45,184",0.13,0.11
"$17,729",0.13,0.11
"$16,760",0.13,0.11
"$14,511",0.13,0.11
"$16,478",0.13,0.11
"$42,375",0.13,0.12
"$24,146",0.13,0.11
"$56,193",0.13,0.11
"$38,318",0.13,0.13
"$14,899",0.13,0.13
"$42,641",0.13,0.1
"$17,124",0.13,0.11
"$17,434",0.13,0.1
"$19,274",0.13,0.08
"$19,685",0.13,0.13
"$10,971",0.1,0.07
"$10,628",0.11,0.1
"$11,067",0.13,0.09
"$10,957",0.1,0.08
"$11,280",0.1,0.07
"$10,628",0.13,0.1
"$20,569",0.11,0.09
"$19,546",0.1,0.08
"$13,781",0.1,0.09
"$15,416",0.1,0.09
"$24,413",0.12,0.1
"$11,638",0.1,0.07
"$23,984",0.13,0.11
"$11,821",0.1,0.09