source_a,source_b,source_r,Freq,last_update_days_ago,Web order,Spending
0,1,0,3,148,1,136
0,0,0,3,145,0,261
0,0,0,1,45,1,43
0,0,0,6,70,0,389
1,0,0,4,24,1,394
0,0,0,6,74,0,588
1,0,0,1,156,1,160
0,0,0,2,27,1,50
1,0,0,1,125,0,233
0,0,0,1,105,1,54
0,0,0,1,56,0,164
0,0,0,1,145,0,160
0,0,0,1,186,0,305
1,0,0,3,190,1,534
1,0,0,1,200,1,105
0,0,0,1,57,1,79
0,0,0,2,76,0,186
0,0,1,1,33,0,324
1,0,0,1,208,1,69
0,0,0,2,172,1,225
0,0,0,1,93,0,167
0,0,0,1,65,1,67
1,0,0,1,194,0,67
0,0,0,1,148,0,120
1,0,0,4,56,1,420
0,0,0,1,132,1,130
0,0,0,3,62,1,141
0,0,0,1,148,1,129
0,0,0,3,62,1,432
1,0,0,3,101,0,547
0,0,0,1,8,1,163
1,0,0,3,183,0,310
0,0,0,2,29,1,326
0,0,0,1,197,1,68
0,0,0,1,148,0,129
1,0,0,1,80,1,40
0,0,1,1,134,0,30
0,0,1,4,99,0,130
0,0,0,1,78,1,32
0,0,0,2,93,0,243
0,0,0,2,136,1,237
0,0,0,3,123,1,145
0,0,0,3,101,1,437
0,0,0,2,104,1,35
0,0,0,1,3,1,25
0,0,0,1,96,0,62
0,0,0,2,52,0,278
0,0,0,3,10,1,363
0,0,1,1,9,1,1075
0,0,0,1,162,1,128
0,0,0,1,194,1,33
0,0,0,1,128,1,35
0,0,0,1,135,0,130
1,0,0,1,117,1,161
0,0,0,2,147,1,54
0,0,0,1,15,1,163
0,0,0,2,57,0,208
1,0,0,1,151,0,80
1,0,0,1,132,1,130
0,0,0,2,88,1,167
0,0,0,1,41,1,172
0,0,0,6,40,1,1294
0,0,0,1,5,1,129
0,0,0,2,100,0,163
0,0,0,3,54,0,135
0,0,0,1,0,0,129
1,0,0,2,56,1,200
0,0,0,2,190,1,88
1,0,0,1,100,0,261
1,0,0,1,105,1,161
0,0,0,4,105,0,204
0,0,0,2,26,1,212
0,0,1,2,110,0,30
0,1,0,3,124,1,619
0,0,0,1,120,0,114
0,0,0,2,56,0,248
0,0,0,4,25,1,139
0,0,0,1,148,1,96
1,0,0,1,208,0,98
0,0,0,1,45,1,81
0,0,0,3,103,0,197
0,0,0,2,103,1,25
0,0,0,3,42,1,50
1,0,0,2,183,0,35
0,0,0,1,140,1,161
0,0,0,10,22,1,1184
0,0,1,2,77,0,1500
1,0,0,1,162,1,110
0,0,0,2,52,0,191
1,0,0,3,156,0,217
0,0,0,1,60,1,44
0,0,0,1,16,0,149
0,0,0,2,25,1,282
0,0,0,1,131,1,6
0,0,0,1,0,0,196
0,0,0,3,76,0,424
0,0,0,2,23,1,114
0,0,0,2,43,0,163
0,0,0,2,199,1,170
0,0,0,2,102,1,136
0,0,0,2,82,0,83
0,0,1,3,92,1,169
0,0,0,1,38,0,83
0,0,0,4,90,1,259
1,0,0,4,75,0,209
0,0,0,3,87,0,226
1,0,0,1,105,1,54
0,0,0,1,27,0,149
0,0,0,1,24,0,30
1,0,0,1,163,1,158
0,0,0,3,132,0,1255
1,0,0,2,180,0,98
0,0,0,1,209,1,137
0,0,0,1,41,1,163
0,0,0,3,23,1,322
0,0,0,1,15,0,40
1,0,0,1,121,1,35
0,0,0,2,85,1,122
0,0,0,2,148,1,95
0,0,0,1,177,1,229
0,0,1,3,80,1,30
0,0,0,3,7,0,214
0,0,1,1,142,0,120
1,0,0,2,25,1,139
0,0,0,2,176,1,219
0,0,0,1,59,0,44
1,0,0,2,182,1,128
0,0,0,1,105,1,171
0,0,0,1,93,1,30
0,1,0,3,148,0,130
0,0,0,1,111,0,171
0,0,0,5,69,0,369
0,0,1,1,160,1,129
0,0,0,2,123,1,153
0,0,0,5,11,1,123
0,0,0,2,142,1,170
0,0,0,1,121,1,130
0,0,0,1,197,1,128
0,0,0,1,84,1,116
0,0,1,3,23,0,133
0,0,0,2,110,1,81
1,0,0,1,124,1,153
0,0,0,7,11,1,150
0,0,0,2,116,1,161
0,0,1,2,8,1,1162
0,0,0,2,148,0,129
0,0,0,1,203,1,128
0,0,0,2,43,1,210
0,0,1,5,1,0,142
0,0,0,1,6,0,149
0,0,0,1,29,0,69
0,0,0,1,135,1,8
0,1,0,7,56,1,236
0,0,0,2,197,0,362
0,0,0,1,138,0,35
0,1,0,3,40,0,331
0,0,0,1,166,1,98
0,0,0,2,158,1,162
0,0,0,2,101,1,160
0,0,0,1,167,0,98
1,0,0,3,141,0,163
0,0,0,1,29,0,203
0,0,0,1,120,0,85
0,0,0,1,119,0,207
0,0,0,3,90,1,58
0,0,0,5,27,1,484
0,0,0,1,30,0,162
0,0,0,3,108,1,64
0,0,0,1,53,0,170
0,0,0,1,175,0,40
1,0,0,4,56,0,620
0,1,0,2,169,1,132
0,0,0,1,29,1,89
0,0,0,1,116,0,140
0,0,0,1,39,0,43
0,0,0,1,132,0,116
0,0,0,2,56,0,124
0,0,0,1,123,1,100
1,0,0,2,153,0,99
0,0,0,2,185,0,129
1,0,0,1,147,0,230
1,0,0,2,184,1,19
0,0,0,1,80,1,85
1,0,0,3,58,1,349
0,0,0,1,163,0,39
0,0,0,1,88,0,54
1,0,0,2,24,1,204
1,0,0,3,128,0,73
1,0,0,1,141,0,130
0,0,0,2,52,0,335
1,0,0,2,104,1,130
0,0,0,2,133,0,85
0,0,0,1,58,1,44
0,0,0,3,169,0,163
0,0,0,2,27,1,131
0,0,0,1,117,0,161
0,0,1,1,131,1,25
0,0,0,1,119,1,145
0,0,0,2,144,0,159
0,0,0,1,130,1,163
0,0,0,1,45,0,81
0,0,0,1,121,1,270
0,0,0,1,158,0,34
0,0,0,1,8,0,164
0,0,0,1,163,1,15
0,0,0,1,163,0,31
0,0,1,11,46,0,1441
0,0,0,4,62,0,232
1,0,0,2,200,0,141
0,0,0,1,197,1,49
0,0,0,4,40,1,253
0,0,0,3,88,1,130
1,0,0,1,150,1,160
1,0,0,4,90,1,525
1,0,0,1,88,0,160
0,0,1,2,177,0,128
0,0,0,3,56,1,247
0,0,0,1,193,1,128
0,0,0,2,101,0,161
0,0,0,2,62,1,54
1,0,0,1,106,0,161
0,0,0,2,100,0,230
0,0,0,3,145,0,160
0,0,0,4,17,1,410
0,0,0,1,146,1,96
0,0,0,1,45,1,163
1,0,0,1,159,0,260
0,0,0,1,191,0,128
1,0,0,3,90,1,107
0,0,0,1,61,1,44
1,0,0,3,20,1,522
0,0,0,3,24,0,266
0,0,0,1,60,0,205
1,0,0,5,51,0,471
0,0,0,1,82,1,30
0,0,0,2,104,0,105
0,0,0,1,127,1,9
1,0,0,3,37,0,128
0,0,0,1,78,1,46
0,0,0,1,33,1,58
0,0,0,4,44,0,496
0,0,0,3,57,0,292
0,0,0,4,35,1,290
0,0,0,2,190,0,98
0,0,0,1,21,0,56
1,0,0,3,36,1,129
0,0,1,3,176,1,331
0,0,0,1,161,1,279
0,0,0,1,141,1,100
0,0,0,3,110,0,161
0,0,0,1,101,0,54
0,0,0,3,69,0,143
0,0,0,1,40,1,68
0,0,0,2,86,0,311
0,0,1,3,94,0,164
0,0,0,1,122,1,104
0,0,0,1,92,1,130
0,1,0,2,185,0,228
0,1,0,4,112,0,189
0,0,1,1,53,1,40
0,0,0,1,0,1,109
0,0,0,2,25,0,43
1,0,0,2,24,1,229
0,0,0,2,123,1,86
1,0,0,1,149,1,160
0,0,1,2,23,1,377
0,1,0,2,178,1,229
1,0,0,3,119,0,385
0,0,0,1,112,1,146
1,0,0,1,205,1,229
0,0,0,1,26,1,119
0,0,0,6,24,0,623
0,0,0,1,138,0,35
0,0,0,6,19,1,450
0,0,0,12,11,0,1446
0,0,0,2,172,0,71
1,0,0,2,129,1,161
0,1,0,3,24,0,321
0,0,0,2,96,1,138
0,0,1,1,24,1,159
1,0,0,1,150,1,184
0,0,0,2,123,1,162
1,0,0,2,51,0,285
0,0,1,1,36,1,43
0,0,1,2,148,0,160
0,0,0,1,33,0,56
0,0,0,1,41,0,89
0,0,0,1,123,1,130
1,0,0,1,191,0,97
0,0,0,1,208,1,254
0,0,0,1,81,1,170
0,0,0,3,25,1,237
0,0,0,1,41,1,202
0,0,1,1,203,0,99
0,0,0,3,37,1,47
0,0,0,2,29,1,149
1,0,0,3,24,1,249
0,0,0,1,46,1,104
1,0,0,1,179,1,33
1,0,0,1,148,1,165
0,0,0,2,145,1,320
1,0,0,2,174,1,45
0,0,0,5,26,0,490
0,0,0,2,43,0,117
0,0,1,1,147,1,183
0,0,0,2,108,1,157
0,0,1,3,94,1,212
0,1,0,1,164,0,38
0,0,0,1,157,0,229
1,0,0,3,51,1,254
0,0,0,1,137,1,230
0,0,0,3,56,1,288
0,0,0,1,113,0,161
0,0,0,2,64,1,140
1,0,0,4,23,0,517
0,0,0,1,61,1,164
0,0,0,3,72,0,65
0,0,0,1,18,0,149
0,0,0,1,61,1,44
0,0,0,1,57,1,201
0,0,0,2,13,1,318
0,0,0,5,93,0,240
0,0,0,2,185,1,98
0,0,0,1,11,1,40
1,0,0,5,15,1,531
1,0,0,1,146,1,85
0,0,0,4,143,1,129
0,0,0,5,4,1,229
1,0,0,9,56,1,1289
0,0,0,1,116,0,100
0,0,0,1,94,1,35
0,0,0,1,151,0,129
0,0,0,1,105,0,146
1,0,0,6,79,0,158
0,0,1,3,58,0,40
1,0,0,2,127,1,236
1,0,0,1,146,0,161
0,0,0,2,85,0,192
1,0,0,10,14,0,1214
0,0,0,3,50,1,236
1,0,0,3,100,0,220
1,0,0,1,120,0,161
0,0,0,2,21,0,303
0,0,0,3,94,1,258
0,0,0,2,145,1,153
0,0,0,2,96,1,130
0,0,1,3,117,0,175
0,0,0,1,148,1,128
0,0,0,1,158,1,220
0,0,0,1,120,1,13
0,0,0,3,144,0,162
0,0,0,2,11,1,81
0,0,0,1,33,0,203
0,0,0,3,172,1,99
0,0,1,2,107,0,68
1,0,0,1,144,1,128
0,0,0,1,173,1,198
1,0,0,5,62,0,271
1,0,0,3,75,0,162
0,0,0,1,38,0,43
0,0,0,1,124,1,130
1,0,0,2,57,1,281
0,0,1,1,202,0,129
0,0,0,2,178,1,45
0,0,0,1,28,1,139
0,0,0,2,31,1,43
0,0,0,1,36,1,40
1,0,0,2,170,1,229
0,0,0,1,82,1,267
1,0,0,2,169,1,34
0,0,0,1,143,1,130
0,0,0,4,26,0,422
0,0,0,2,38,0,163
0,0,0,1,43,1,65
1,0,0,1,178,1,100
0,0,0,1,92,1,40
1,0,0,3,169,1,203
0,0,0,1,128,0,282
0,0,0,1,134,1,130
0,0,0,1,127,0,130
0,0,0,1,29,1,495
0,0,0,4,76,1,20
0,0,0,5,23,1,402
0,0,0,2,49,0,58
0,0,0,1,145,1,273
0,0,0,1,151,1,129
0,0,1,1,146,1,161
0,1,0,2,182,1,125
1,0,0,3,11,1,360
0,0,0,1,129,0,55
0,0,0,1,41,1,56
0,1,0,1,142,1,160
0,0,0,3,60,0,195
0,0,0,2,42,1,99
1,0,0,2,185,1,198
1,0,0,2,185,1,326
0,0,0,1,162,0,183
1,0,0,1,104,0,130
0,0,0,1,32,1,58
0,0,0,1,163,0,98
1,0,0,2,184,1,69
0,0,0,2,119,0,318
0,0,0,1,148,1,181
0,0,0,1,202,1,97
0,0,0,1,79,0,140
0,0,0,1,54,1,263
0,0,0,4,93,0,141
0,0,0,3,134,0,429
0,0,0,5,102,1,187
0,0,0,1,4,1,55
0,0,0,2,91,0,75
1,0,0,2,104,1,161
1,0,0,1,56,0,153
1,0,0,1,200,1,68
0,0,0,2,69,1,159
0,0,1,1,116,1,418
0,0,0,1,120,0,130
0,0,0,1,31,0,178
0,0,0,1,21,1,40
0,1,0,1,165,0,68
0,0,0,1,156,1,134
0,0,0,1,137,1,411
0,0,0,2,179,1,107
1,0,0,2,182,0,128
0,0,0,1,159,0,10
0,0,0,1,46,0,141
0,0,0,2,114,0,251
0,0,0,2,48,1,206
0,0,0,1,94,1,56
0,0,0,1,161,1,34
0,0,1,2,81,0,3
1,0,0,1,150,0,410
0,0,0,1,63,1,44
0,0,1,4,11,1,508
0,0,0,3,94,0,182
1,0,0,7,57,1,1055
1,0,0,2,18,0,279
0,0,0,4,44,0,197
0,0,1,1,161,1,68
1,0,0,2,149,1,316
0,0,1,1,97,1,54
0,0,0,1,171,1,10
0,0,0,2,99,1,190
0,0,0,2,118,1,288
0,0,1,2,142,0,161
0,0,0,2,116,1,343
0,0,0,3,83,1,184
1,0,0,2,123,0,220
0,0,1,3,142,1,506
0,0,0,1,148,1,173
0,0,0,1,167,0,110
0,0,0,2,138,0,136
0,0,0,1,133,1,130
1,0,0,1,105,1,161
0,0,0,1,48,0,81
0,0,0,1,170,0,10
1,0,0,1,121,1,161
1,0,0,1,180,1,228
1,0,0,9,11,0,1176
1,0,0,1,105,0,54
0,0,0,2,56,0,42
0,0,0,2,177,1,131
0,0,0,1,179,1,43
0,0,0,1,139,0,33
0,0,0,2,12,1,1200
0,0,0,2,70,1,303
1,0,0,1,151,1,184
1,0,0,1,33,1,84
0,0,0,3,161,0,122
1,0,0,3,42,0,160
0,0,0,3,30,0,6
0,0,0,2,119,1,88
0,0,0,5,23,1,297
0,0,0,2,183,0,33
0,0,0,2,161,1,130
0,0,0,1,36,0,163
0,0,0,2,115,0,318
0,0,0,1,148,0,160
1,0,0,1,196,1,139
1,0,0,2,79,1,203
0,0,0,2,54,0,57
0,0,0,1,78,1,91
0,0,0,1,162,0,135
0,0,0,1,88,0,142
0,0,0,1,64,0,95
0,0,0,2,64,1,508
0,0,0,1,48,0,263
0,0,1,1,96,1,150
0,0,0,2,62,0,81
0,0,0,2,57,1,287
0,0,0,6,39,0,577
0,0,0,1,167,1,98
0,0,0,1,33,1,188
0,0,0,1,165,1,69
0,0,0,1,172,0,1030
1,0,0,3,71,1,130
0,0,0,1,140,0,55
0,0,0,2,123,0,133
0,0,0,2,57,0,184
0,0,0,1,132,1,10